date,state_abbreviation,state_name,doses_distributed_cumulative,doses_administered_cumulative,new_doses_distributed,new_doses_administered,new_doses_distributed_7_day_rolling_avg,new_doses_administered_7_day_rolling_avg
2021-01-04,AK,Alaska,74925.0,18937,,,,
2021-01-05,AK,Alaska,76200.0,19050,1275.0,113.0,,
2021-01-06,AK,Alaska,80300.0,20106,4100.0,1056.0,,
2021-01-07,AK,Alaska,87325.0,21830,7025.0,1724.0,,
2021-01-08,AK,Alaska,93175.0,24562,5850.0,2732.0,,
2021-01-09,AK,Alaska,93175.0,24562,0.0,0.0,,
2021-01-10,AK,Alaska,93175.0,24562,0.0,0.0,,
2021-01-11,AK,Alaska,132350.0,35027,39175.0,10465.0,8203.57,2298.57
2021-01-12,AK,Alaska,141600.0,35838,9250.0,811.0,9342.86,2398.29
2021-01-13,AK,Alaska,149475.0,38680,7875.0,2842.0,9882.14,2653.43
2021-01-14,AK,Alaska,150450.0,42596,975.0,3916.0,9017.86,2966.57
2021-01-15,AK,Alaska,150450.0,49039,0.0,6443.0,8182.14,3496.71
2021-01-16,AK,Alaska,150450.0,49039,0.0,0.0,8182.14,3496.71
2021-01-17,AK,Alaska,150450.0,49039,0.0,0.0,8182.14,3496.71
2021-01-18,AK,Alaska,150450.0,49039,0.0,0.0,2585.71,2001.71
2021-01-19,AK,Alaska,150450.0,66331,0.0,17292.0,1264.29,4356.14
2021-01-20,AK,Alaska,150350.0,68293,-100.0,1962.0,125.0,4230.43
2021-01-21,AK,Alaska,154325.0,71907,3975.0,3614.0,553.57,4187.29
2021-01-22,AK,Alaska,155500.0,81096,1175.0,9189.0,721.43,4579.57
2021-01-23,AK,Alaska,155700.0,88344,200.0,7248.0,750.0,5615.0
2021-01-24,AK,Alaska,155700.0,94257,0.0,5913.0,750.0,6459.71
2021-01-25,AK,Alaska,155700.0,97031,0.0,2774.0,750.0,6856.0
2021-01-26,AK,Alaska,162925.0,98149,7225.0,1118.0,1782.14,4545.43
2021-01-27,AK,Alaska,170575.0,101597,7650.0,3448.0,2889.29,4757.71
2021-01-28,AK,Alaska,178075.0,105858,7500.0,4261.0,3392.86,4850.14
2021-01-29,AK,Alaska,192350.0,110396,14275.0,4538.0,5264.29,4185.71
2021-01-30,AK,Alaska,193150.0,115268,800.0,4872.0,5350.0,3846.29
2021-01-31,AK,Alaska,193150.0,119590,0.0,4322.0,5350.0,3619.0
2021-02-01,AK,Alaska,193150.0,122020,0.0,2430.0,5350.0,3569.86
2021-02-02,AK,Alaska,196975.0,123443,3825.0,1423.0,4864.29,3613.43
2021-02-03,AK,Alaska,229975.0,125765,33000.0,2322.0,8485.71,3452.57
2021-02-04,AK,Alaska,240325.0,129936,10350.0,4171.0,8892.86,3439.71
2021-02-05,AK,Alaska,245700.0,134002,5375.0,4066.0,7621.43,3372.29
2021-02-06,AK,Alaska,248500.0,139147,2800.0,5145.0,7907.14,3411.29
